abandon,放棄
suspicious,可疑的
sustain,維持
swallow,吞嚥
swamp,沼澤
swan,天鵝
swarm,群
sway,搖擺
swear,發誓
sweat,汗水
sweater,毛衣
sweep,掃
sweet,甜的
swell,腫脹
swift,迅速的
swim,游泳
swing,搖擺
switch,開關
sword,劍
symbol,象徵
symmetrical,對稱的
sympathetic,同情的
sympathize,同情
sympathy,同情
symphony,交響樂
symposium,研討會
symptom,症狀
syndrome,症候群
synthetic,合成的
system,系統
systematic,系統性的
table,桌子
tablet,藥片
tackle,處理
tact,機智
tag,標籤
tail,尾巴
tailor,裁縫
take,拿
tale,故事
talent,天賦
talk,談話
tall,高的
tame,馴服的
tan,曬黑
tangle,糾纏
tank,坦克
tap,輕拍
tape,膠帶
target,目標
tariff,關稅
task,任務
taste,味道
tax,稅
taxi,計程車
tea,茶
teach,教
teacher,老師
team,團隊
tear,撕
tease,取笑
technical,技術的
technician,技術員
technique,技巧
technology,科技
tedious,乏味的
teenager,青少年
telegram,電報
telegraph,電報機
telephone,電話
telescope,望遠鏡
television,電視
tell,告訴
temper,脾氣
temperament,氣質
temperature,溫度
temple,寺廟
tempo,節奏
temporary,暫時的
tempt,誘惑
temptation,誘惑
ten,十
tenant,房客
tend,傾向
tendency,傾向
tender,溫柔的
tennis,網球
tense,緊張的
tension,緊張
tent,帳篷
tentative,暫時的
term,術語
terminal,終點站
terminate,終止
terrible,可怕的
terrific,極好的
terrify,使害怕
territory,領土
terror,恐懼
test,測試
testify,作證
text,文本
textbook,教科書
textile,紡織品
texture,質地
than,比
thank,感謝
that,那個
the,這
theater,劇院
theft,偷竊
their,他們的
them,他們
theme,主題
themselves,他們自己
then,然後
theory,理論
therapy,治療
there,那裡
thereafter,此後
thereby,因此
therefore,所以
thermal,熱的
thermometer,溫度計
these,這些
thesis,論文
they,他們
thick,厚的
thief,小偷
thigh,大腿
thin,薄的
thing,事情
think,想
third,第三
thirst,口渴
thirty,三十
this,這個
thorn,刺
thorough,徹底的
those,那些
though,雖然
thought,思想
thoughtful,體貼的
thousand,千
thread,線
threat,威脅
threaten,威脅
three,三
thresh,脫粒
threshold,門檻
thrift,節儉
thrill,興奮
thrive,繁榮
throat,喉嚨
throne,王位
throng,人群
through,通過
throughout,遍及
throw,丟
thrust,推
thumb,拇指
thunder,雷
thursday,星期四
thus,因此
tick,滴答聲
ticket,票
tide,潮汐
tidy,整潔的
tie,領帶
tiger,老虎
tight,緊的
tile,磁磚
till,直到
tilt,傾斜
timber,木材
time,時間
timely,及時的
timid,膽小的
tin,錫
tiny,微小的
tip,尖端
tire,累
tired,累的
tissue,組織
title,標題
to,去
toad,蟾蜍
toast,吐司
tobacco,菸草
today,今天
toe,腳趾
together,一起
toil,辛苦工作
toilet,廁所
token,象徵
tolerance,寬容
tolerant,寬容的
tolerate,容忍
toll,通行費
tomato,番茄
tomb,墳墓
tomorrow,明天
ton,噸
tone,語氣
tongue,舌頭
tonight,今晚
too,太
tool,工具
tooth,牙齒
top,頂部
topic,話題
torch,手電筒
torrent,急流
tortoise,烏龜
torture,折磨
toss,拋
total,總共
touch,觸摸
tough,艱難的
tour,旅遊
tourist,遊客
tow,拖
toward,向
towel,毛巾
tower,塔
town,城鎮
toy,玩具
trace,痕跡
track,軌道
tractor,拖拉機
trade,貿易
tradition,傳統
traffic,交通
tragedy,悲劇
trail,小徑
train,火車
training,訓練
traitor,叛徒
tram,電車
tramp,流浪漢
transfer,轉移
transform,改變
transistor,電晶體
transit,運輸
translate,翻譯
translation,翻譯
transmission,傳輸
transmit,發送
transparent,透明的
transplant,移植
transport,運輸
trap,陷阱
trash,垃圾
travel,旅行
tray,托盤
treason,叛國罪
treasure,寶藏
treat,對待
treatment,治療
treaty,條約
tree,樹
tremble,顫抖
tremendous,巨大的
trench,溝渠
trend,趨勢
trial,審判
triangle,三角形
tribe,部落
tribute,貢品
trick,惡作劇
trifle,瑣事
trigger,扳機
trim,修剪
trip,旅行
triple,三倍的
triumph,勝利
trivial,微不足道的
troop,軍隊
tropic,熱帶
tropical,熱帶的
trouble,麻煩
troublesome,麻煩的
trousers,褲子
truck,卡車
true,真的
trumpet,小號
trunk,樹幹
trust,信任
truth,真相
try,嘗試
tub,浴缸
tube,管子
tuck,塞
tuesday,星期二
tug,拉
tuition,學費
tulip,鬱金香
tumble,跌倒
tumult,騷動
tuna,鮪魚
tune,曲調
tunnel,隧道
turbine,渦輪機
turbulent,動盪的
turkey,火雞
turn,轉
turnip,蕪菁
tutor,家教
twelfth,第十二
twelve,十二
twentieth,第二十
twenty,二十
twice,兩次
twin,雙胞胎
twinkle,閃爍
twist,扭曲
two,二
type,類型
typewriter,打字機
typhoon,颱風
typical,典型的
typist,打字員
tyrant,暴君
ugly,醜陋的
ultimate,最終的
umbrella,雨傘
unable,不能的
unanimous,全體一致的
uncertain,不確定的
uncle,叔叔
uncomfortable,不舒服的
unconscious,無意識的
uncover,揭開
under,在...下面
underestimate,低估
undergo,經歷
undergraduate,大學生
underground,地下的
underline,畫底線
underlying,潛在的
undermine,破壞
understand,了解
understanding,了解
undertake,承擔
undo,取消
undoubtedly,毫無疑問地
uneasy,不安的
unemployment,失業
unexpected,意外的
unfold,展開
unfortunate,不幸的
uniform,制服
unify,統一
union,聯合
unique,獨特的
unit,單位
unite,團結
unity,團結
universal,普遍的
universe,宇宙
university,大學
unjust,不公平的
unkind,不友善的
unknown,未知的
unless,除非
unlike,不像
unlikely,不可能的
unload,卸貨
unlock,解鎖
unlucky,不幸的
unnecessary,不必要的
unpleasant,不愉快的
unrest,動盪
unsatisfactory,不令人滿意的
unstable,不穩定的
unsuitable,不適合的
until,直到
unusual,不尋常的
unwilling,不情願的
up,向上
update,更新
upgrade,升級
uphold,支持
upon,在...之上
upper,上面的
upright,直立的
uproar,騷動
upset,心煩意亂的
upside,上面
upstairs,樓上
upward,向上的
urban,城市的
urge,催促
urgent,緊急的
us,我們
usage,用法
use,使用
used,習慣的
useful,有用的
useless,無用的
user,使用者
usual,通常的
usually,通常
utensil,器具
utility,公用事業
utilize,利用
utmost,極度的
utter,說
vacant,空缺的
vacation,假期
vacuum,真空
vague,模糊的
vain,徒勞的
valid,有效的
validity,有效性
valley,山谷
valuable,有價值的
value,價值
van,與
vanish,消失
vanity,虛榮
vapor,蒸氣
variable,變數
variation,變化
variety,多樣性
various,各種各樣的
vary,變化
vase,花瓶
vast,巨大的
vegetable,蔬菜
vehicle,車輛
veil,面紗
vein,靜脈
velocity,速度
velvet,天鵝絨
vengeance,復仇
ventilate,通風
venture,冒險
verb,動詞
verbal,口頭的
verdict,判決
verge,邊緣
verify,證實
versatile,多才多藝的
verse,詩
version,版本
versus,與...相對
vertical,垂直的
very,非常
vessel,船
vest,背心
veteran,退伍軍人
veto,否決
via,經由
vibrate,振動
vice,惡習
vicinity,附近
vicious,邪惡的
victim,受害者
victorious,勝利的
victory,勝利
video,影片
view,觀點
viewer,觀眾
vigor,活力
vigorous,精力充沛的
village,村莊
villain,反派
vine,藤蔓
vinegar,醋
violate,違反
violence,暴力
violent,暴力的
violet,紫羅蘭
violin,小提琴
virgin,處女
virtual,虛擬的
virtue,美德
virus,病毒
visa,簽證
visible,可見的
vision,視力
visit,拜訪
visitor,訪客
visual,視覺的
vital,重要的
vitamin,維他命
vivid,生動的
vocabulary,字彙
vocal,聲音的
vocation,職業
voice,聲音
void,空的
volcano,火山
volleyball,排球
volt,伏特
voltage,電壓
volume,體積
voluntary,自願的
volunteer,志工
vote,投票
vow,發誓
voyage,航行
vulgar,粗俗的
wag,搖擺
wage,工資
waggon,馬車
waist,腰
wait,等待
waiter,服務生
wake,醒來
waken,喚醒
walk,走
wall,牆
wallet,錢包
wander,漫遊
want,想要
war,戰爭
ward,病房
wardrobe,衣櫃
warehouse,倉庫
warm,溫暖的
warmth,溫暖
warn,警告
warrant,授權
warrior,戰士
wash,洗
waste,浪費
watch,看
water,水
waterfall,瀑布
waterproof,防水的
wave,波浪
wax,蠟
way,路
we,我們
weak,虛弱的
weaken,削弱
wealth,財富
wealthy,富有的
weapon,武器
wear,穿
weary,疲倦的
weather,天氣
weave,編織
web,網
wedding,婚禮
wedge,楔子
wednesday,星期三
weed,雜草
week,週
weekday,平日
weekend,週末
weekly,每週的
weep,哭泣
weigh,稱重
weight,重量
welcome,歡迎
weld,焊接
welfare,福利
well,好
west,西
western,西方的
wet,濕的
whale,鯨魚
what,什麼
whatever,無論什麼
wheat,小麥
wheel,輪子
when,何時
whenever,無論何時
where,哪裡
wherever,無論哪裡
whether,是否
which,哪一個
whichever,無論哪一個
while,當...時
whip,鞭打
whirl,旋轉
whisky,威士忌
whisper,低語
whistle,口哨
white,白色
whitewash,粉飾
who,誰
whoever,無論誰
whole,全部的
wholesale,批發
wholesome,健康的
wholly,完全地
whom,誰
whose,誰的
why,為什麼
wicked,邪惡的
wide,寬的
widen,加寬
widespread,廣泛的
widow,寡婦
width,寬度
wife,妻子
wild,野生的
will,將
willing,願意的
willow,柳樹
win,贏
wind,風
window,窗戶
wine,酒
wing,翅膀
wink,眨眼
winner,贏家
winter,冬天
wipe,擦
wire,電線
wisdom,智慧
wise,明智的
wish,希望
wit,機智
witch,女巫
with,與
withdraw,撤回
wither,枯萎
within,在...之內
without,沒有
withstand,承受
witness,證人
wolf,狼
woman,女人
wonder,想知道
wonderful,美好的
wood,木頭
wooden,木製的
wool,羊毛
word,字
work,工作
worker,工人
workman,工人
workshop,車間
world,世界
worm,蟲
worry,擔心
worse,更糟的
worship,崇拜
worst,最糟的
worth,值得
worthless,無價值的
worthwhile,值得的
worthy,值得的
wound,傷口
wrap,包裹
wrath,憤怒
wreath,花環
wreck,殘骸
wrench,扳手
wrestle,摔角
wretched,可憐的
wring,擰
wrinkle,皺紋
wrist,手腕
write,寫
writer,作家
writing,寫作
wrong,錯誤的
x-ray,X光
yard,院子
yawn,打哈欠
year,年
yearly,每年的
yell,大叫
yellow,黃色
yes,是
yesterday,昨天
yet,尚未
yield,產量
yoke,枷鎖
yolk,蛋黃
you,你
young,年輕的
youngster,年輕人
your,你的
yourself,你自己
youth,青春
zebra,斑馬
zero,零
zone,區域
zoo,動物園
zoology,動物學
